# t	m[free_layer]_x	m[free_layer]_y	m[free_layer]_z	m[fixed_layer]_x	m[fixed_layer]_y	m[fixed_layer]_z
3.67559622591487e-09	-0.383893313211721	-0.207078252434194	0.863758137168171	0.00633286472108971	0.00241939258763152	0.999762328492813
3.67658245123544e-09	-0.38010836866473	-0.214286539837473	0.863679880307077	0.00628882999920165	0.00253818759627313	0.999762332296906
3.67748306583474e-09	-0.37653178537437	-0.220811400371545	0.863608612269599	0.00624664435577085	0.0026460299423641	0.99976233940101
3.67805043001122e-09	-0.374220541781499	-0.224891588518645	0.863563810709735	0.00621910636496485	0.00271362310422082	0.99976234892932
3.6787080906494e-09	-0.371484686239061	-0.229593269653307	0.863511971590026	0.00618625137804418	0.00279166226131755	0.999762362528731
3.67934659790475e-09	-0.368770592853531	-0.234128349159023	0.863461740717353	0.00615339922669434	0.00286708718252204	0.999762376573205
3.67959519103322e-09	-0.367698961370592	-0.235884852496268	0.863442214366435	0.00614036147209528	0.00289633586161253	0.999762380114471
3.68046520776377e-09	-0.363880994878843	-0.241995791904007	0.863373997484607	0.00609361894924387	0.0029982665517972	0.99976239090585
3.68073440965718e-09	-0.362678359513697	-0.243875176365795	0.863352927747436	0.00607880492248196	0.00302966974083468	0.999762393740039
3.68150970499405e-09	-0.359159031510493	-0.249256665831228	0.863292346884328	0.00603521839885819	0.00311973843903465	0.999762401527356
3.68198856458688e-09	-0.356945685950011	-0.252554103165162	0.863254999145358	0.0060076301319456	0.00317504440433981	0.999762410072505
3.68284222649519e-09	-0.35292290890359	-0.258386241358465	0.863188556283642	0.00595716549096685	0.00327307932901156	0.999762427777862
3.68342187498223e-09	-0.350135110554327	-0.262312605313596	0.863143540607045	0.00592196214530496	0.00333923822561486	0.99976244160549
3.68438588087481e-09	-0.34540154627823	-0.268775364049561	0.863068855518842	0.00586178564432289	0.00344841574850876	0.999762464860827
3.6849822526262e-09	-0.342411962297431	-0.272732295732665	0.863022764800314	0.00582353291137405	0.00351543953594659	0.999762479761857
3.68542532720352e-09	-0.340160369615138	-0.275652059632825	0.862988577270868	0.00579460317373898	0.00356498477320996	0.9997624912395
3.6860422533958e-09	-0.336982974866651	-0.279687453978895	0.862941053925461	0.00575360960905642	0.00363359015072429	0.999762507585131
3.68634972972801e-09	-0.335381700625026	-0.281684432831236	0.862917402094066	0.00573287765627498	0.00366759825760639	0.99976251572345
3.68729287601425e-09	-0.330394031610365	-0.287755128890723	0.862844994461512	0.00566800459263686	0.00377121763765556	0.999762541254015
3.68759316113205e-09	-0.328781980793061	-0.289670611699319	0.862821985631515	0.00564694458793364	0.00380398822205946	0.999762549562163
3.68825450112834e-09	-0.325191592068046	-0.293858230060872	0.86277138644506	0.00559988579158727	0.00387575905787939	0.999762566506666
3.6892486179654e-09	-0.319693375961656	-0.300068876905805	0.862695516281308	0.00552743293129069	0.00398253042556626	0.999762583975134
3.68966299751037e-09	-0.317364949106396	-0.302628972505144	0.862663959620879	0.00549661355401533	0.00402666220039636	0.999762589718388
3.6897900546158e-09	-0.316646693199518	-0.303410566570281	0.862654291780623	0.00548709078632472	0.00404014981637982	0.999762591298093
3.69016706947517e-09	-0.314503506207621	-0.305720435347547	0.862625626811204	0.00545863254377906	0.00408004968472472	0.999762595484678
3.69050228083765e-09	-0.312584225516174	-0.307760708764548	0.862600163392448	0.0054330947842969	0.00411534566382674	0.999762598592299
3.69108532423475e-09	-0.309214025721342	-0.311280803535273	0.862555930509311	0.0053881325065913	0.00417635868166845	0.999762602605554
3.6916779089926e-09	-0.305746361561721	-0.314822327699988	0.862511050125531	0.00534171593986466	0.00423789418529374	0.99976260486447
3.69228234532806e-09	-0.302165401348107	-0.318397110583117	0.862465351446977	0.00529362485290379	0.00430016605560474	0.999762605278359
3.69326267368491e-09	-0.296268436985668	-0.324107617444185	0.862391380195374	0.00521408573169	0.00440000498433441	0.999762607073568
3.69402222386071e-09	-0.291622754507085	-0.328459020579968	0.862334197341677	0.00515113708866939	0.00447639211660251	0.999762608426265
3.69472893152027e-09	-0.287239908020349	-0.33245066338104	0.86228109550033	0.00509152873973015	0.00454670940145095	0.999762609322866
3.69560423382944e-09	-0.281736231719165	-0.337311950032887	0.862215447539492	0.00501637171427726	0.00463268563136635	0.999762612348507
3.69655210651216e-09	-0.275678892964946	-0.342477254082811	0.862144518807499	0.00493328741748442	0.00472446488960961	0.999762616487878
3.69671378494169e-09	-0.27463558769062	-0.343348019301693	0.862132437329393	0.00491893968470402	0.00473998209698406	0.999762617283506
3.69719576207241e-09	-0.271509863007967	-0.345924030968111	0.862096443688727	0.00487588687989804	0.00478596715645075	0.999762621162178
3.69763708700537e-09	-0.268626569478345	-0.34825757882825	0.862063517961999	0.00483608666093939	0.00482772936345753	0.999762626139622
3.69859477449848e-09	-0.262297515385377	-0.353241240732596	0.861992182362286	0.00474844361717405	0.00491726794513423	0.999762639885122
3.69908616783582e-09	-0.259011666202138	-0.35575575289296	0.861955640444529	0.00470279575530969	0.00496263307300686	0.999762648502789
3.69971264166621e-09	-0.254789333457628	-0.358915244870514	0.861909100521438	0.00464398835733959	0.0050198229100328	0.999762662950631
3.70012652743382e-09	-0.25197772812632	-0.360975738224715	0.86187838703673	0.00460474063565166	0.00505723725004932	0.999762673922071
3.70103702837086e-09	-0.245730620274496	-0.365433438809221	0.861810915034811	0.00451729025806503	0.00513851311053824	0.999762702026585
3.70126227885376e-09	-0.244172004381519	-0.366520294619001	0.861794242981776	0.00449542027513872	0.00515840128272993	0.999762709821376
3.70175084232736e-09	-0.240776312850806	-0.368853299854926	0.861758102314107	0.00444770380877276	0.00520118354642743	0.999762723309527
3.70234675436125e-09	-0.236603121302515	-0.371656979257016	0.86171406699633	0.00438893350986853	0.00525277749583471	0.999762738992401
3.70294158314298e-09	-0.232402832534115	-0.374409858346149	0.861670163104751	0.00432964194734417	0.00530363824686702	0.999762754260157
3.70368453700209e-09	-0.227109096932062	-0.377783182569092	0.861615394912003	0.00425472006404638	0.00536625102323542	0.999762774097852
3.70418505259786e-09	-0.223515991069017	-0.380012641110772	0.861578533129578	0.00420374390674889	0.00540782035216826	0.999762791184686
3.70465154554711e-09	-0.220146357788131	-0.382060388779438	0.861544205977157	0.00415585058466001	0.00544613878709638	0.999762808324228
3.70560915327903e-09	-0.21316645122387	-0.38617277989229	0.861473827358349	0.00405638042723172	0.00552351267590559	0.999762847178558
3.70589414762663e-09	-0.211073871498494	-0.387372196794639	0.861452900133017	0.00402649514816718	0.00554618930209747	0.999762857323476
3.70672770486468e-09	-0.204914721014385	-0.390814659412767	0.861391733015196	0.00393837087154419	0.00561156612004718	0.999762879749301
3.7071712043772e-09	-0.201613071507586	-0.392607248016951	0.861359218610237	0.00389102957559346	0.00564579255970334	0.999762889851326
3.70765721276057e-09	-0.197975314820772	-0.394540550283997	0.861323611633126	0.00383878839475347	0.0056828547156632	0.999762899462158
3.70837957471853e-09	-0.192534144285777	-0.397351509881849	0.861270730605971	0.0037604925140534	0.00573704580184293	0.999762915380506
3.70877343382443e-09	-0.18955057367297	-0.398852356421911	0.861241918629394	0.00371748198493431	0.00576613774946156	0.999762925425369
3.70917083354936e-09	-0.186527483132487	-0.400344391566421	0.86121286321101	0.0036738463045838	0.00579517208790148	0.999762935737449
3.70992921523867e-09	-0.180722939921608	-0.403129560639972	0.861157458404431	0.00358990888481697	0.00584969046618454	0.999762955909764
3.71039842081915e-09	-0.177110125793006	-0.404810771904831	0.861123202972282	0.00353756818104413	0.00588281504658336	0.999762966159851
3.7107997028616e-09	-0.174008178138947	-0.406222538309335	0.861093917438875	0.00349257204975572	0.00591076523748514	0.999762972121502
3.71118937555182e-09	-0.170984365559056	-0.407571049356203	0.86106549172271	0.0034486577801603	0.0059375834871656	0.999762976804407
3.71176514203937e-09	-0.166495555656495	-0.409523140817964	0.86102351356282	0.00338337501612083	0.00597662605824481	0.999762981728515
3.71273392452708e-09	-0.158889468871997	-0.412697175606019	0.860952940895568	0.0032725030974272	0.0060407252292403	0.999762987462229
3.71346780874703e-09	-0.153086923877963	-0.415007190652162	0.860899527916413	0.00318770470081409	0.00608792250998582	0.999762993084354
3.71402761416508e-09	-0.148635814150455	-0.416715301270926	0.860858813092267	0.0031225340466461	0.00612314680126914	0.999762996883987
3.71468592582439e-09	-0.143374678510072	-0.418663795718509	0.860810964462534	0.00304536759247028	0.00616370020234821	0.999763001062488
3.71523104290563e-09	-0.138999953477448	-0.420226101469334	0.860771363996932	0.00298108556303665	0.00619653393620599	0.999763005404013
3.71539163732946e-09	-0.137707584889299	-0.420677737353217	0.860759701537399	0.00296207614872698	0.00620608182854176	0.999763006713256
3.71560864104928e-09	-0.135958700346735	-0.421281773851039	0.860743945530907	0.00293633786347271	0.00621889299891776	0.999763008504214
3.71603115673545e-09	-0.132545079656106	-0.422437288995016	0.860713277557979	0.00288605363594794	0.00624353863899238	0.99976301206329
3.71634828699502e-09	-0.129975547293652	-0.423286734475502	0.860690267287869	0.00284816333303583	0.00626177815025443	0.999763014797163
3.7165356115025e-09	-0.128454798806158	-0.423781296496035	0.860676678813364	0.00282572236396639	0.00627244767053007	0.999763016437209
3.71687338850941e-09	-0.125707755637225	-0.424659258282898	0.860652181105779	0.00278515556810043	0.00629148469287082	0.999763019746863
3.71708567024213e-09	-0.123979027460524	-0.425201510595739	0.860636785688614	0.00275960703113885	0.00630330768131889	0.999763022471472
3.71745084187082e-09	-0.120999303585654	-0.426117937237247	0.860610307900422	0.00271553476077373	0.00632340693965962	0.999763027521564
3.71827369388933e-09	-0.114257520964369	-0.428107070494249	0.86055067133484	0.00261565462107793	0.00636758966879193	0.999763040584743
3.71882252490159e-09	-0.109739679987089	-0.429375361683814	0.86051091506089	0.0025485963730484	0.00639620604244738	0.999763050594258
3.71895525099083e-09	-0.108644568536247	-0.429675056364176	0.860501303098611	0.00253232657883928	0.00640302397323326	0.999763053170698
3.71967784996425e-09	-0.102671487299042	-0.431256001018901	0.860449003301742	0.00244346215225049	0.00643937860341685	0.999763064766847
3.72062751485467e-09	-0.094782289097597	-0.433208148481944	0.86038032402209	0.00232580945850682	0.00648530314333498	0.999763079746743
3.72089204369074e-09	-0.0925767628064966	-0.433726549309676	0.860361204391654	0.00229286178016147	0.00649772115719782	0.999763083905898
3.72113768922636e-09	-0.0905255586200879	-0.434198045686048	0.860343453885814	0.00226219756030792	0.00650910668951269	0.999763087762889
3.72176502905279e-09	-0.0852790105539124	-0.435357016161226	0.860298134626587	0.00218367018655201	0.0065375061822362	0.999763100637291
3.72268277643061e-09	-0.0775742535075962	-0.43693850144793	0.860231878346458	0.00206810359652881	0.00657735891989468	0.999763122609919
3.72318736188356e-09	-0.073322809248668	-0.437750450603177	0.860195471802053	0.00200421042649363	0.00659841591137156	0.999763136069482
3.72403811444476e-09	-0.066135835589266	-0.4390250698995	0.860134145345655	0.00189599917666437	0.00663248730016119	0.999763157436416
3.72430796517817e-09	-0.0638511983002378	-0.439404637099105	0.860114707800595	0.00186154773638484	0.00664291950738384	0.999763163897561
3.72454224310203e-09	-0.0618655968274594	-0.439724569279935	0.860097837616071	0.00183158522488942	0.00665183194761722	0.999763169496456
3.72553652883208e-09	-0.0534165433793894	-0.440983095923725	0.86002629179065	0.00170387900351345	0.00668816167294134	0.999763193149661
3.72646991229219e-09	-0.0454618902192495	-0.442015928797077	0.85995922439647	0.00158334421811884	0.00672001033326151	0.999763217349805
3.72667224668581e-09	-0.0437343576720499	-0.442220894382869	0.859944697687945	0.00155712881168568	0.00672662741856412	0.999763222802994
3.72751974246041e-09	-0.0364856024895397	-0.44300627857158	0.859883895876663	0.00144697902235412	0.00675323616831762	0.999763246310701
3.72833257272613e-09	-0.0295184228717989	-0.443647599366764	0.859825651608825	0.00134089307229199	0.00677705138283491	0.999763266705438
3.72902492418243e-09	-0.0235741884353449	-0.444107028638	0.859776095983823	0.00125022190328675	0.00679601005560158	0.999763281172455
3.72960605930378e-09	-0.0185766524360741	-0.444431267032029	0.859734539457911	0.00117387402085059	0.00681098808359349	0.999763292117554
3.72995310523798e-09	-0.0155886417202787	-0.444598177118542	0.859709739313732	0.0011281748930654	0.00681952569961726	0.999763298132366
3.73057610925475e-09	-0.0102233777383332	-0.444846796221524	0.859665275091843	0.00104602019155269	0.00683407294503227	0.999763310798709
3.73077140419571e-09	-0.00854058579700416	-0.444911338056368	0.859651348925726	0.00102022717745858	0.00683842875773426	0.999763314953798
3.73132336413852e-09	-0.00378151972848678	-0.445059285837807	0.859612018135668	0.000947216884304502	0.00685021390193561	0.999763326845234
3.73220236711657e-09	0.00380652978295448	-0.445189786802076	0.859549470527593	0.000830606209443805	0.00686737889461668	0.999763346233772
3.7329495627583e-09	0.0102591739437356	-0.44519816117955	0.859496378374892	0.00073126311292323	0.00688039103116191	0.99976335233842
3.73361579890295e-09	0.0160161344602264	-0.445126398397269	0.859449099936004	0.000642487445351813	0.00689077710790978	0.999763352401633
3.73394790329201e-09	0.0188872051756598	-0.445062750826035	0.859425554326544	0.000598163275289622	0.00689552675087096	0.999763350755257
3.73456665128093e-09	0.024237870283091	-0.444894641625952	0.859381728995001	0.000515467120397775	0.00690361693486103	0.99976334621888
3.7354607182514e-09	0.0319644384209201	-0.444537259913043	0.85931854421234	0.000395822802939334	0.00691356042778997	0.99976335115668
3.73584841246801e-09	0.0353149607831314	-0.444340366569575	0.859291187838194	0.000343860804853756	0.00691723094022859	0.99976335424586
3.73651462440987e-09	0.0410725549122429	-0.443942793583771	0.859244238736341	0.00025445561265861	0.00692263224817779	0.999763360893736
3.73737293949089e-09	0.0484834089568509	-0.44331985956088	0.859183879646314	0.000139160414549437	0.0069278826775004	0.999763368620369
3.7379262180626e-09	0.0532570402794075	-0.442852256824492	0.859145046357422	6.47647097255333e-05	0.0069302493715208	0.999763373415329
3.73823251303953e-09	0.0558988156452923	-0.442571137372614	0.859123572858263	2.35500291402615e-05	0.00693121721112071	0.999763376132676
3.73870668998737e-09	0.0599872883648892	-0.442104652772503	0.859090364203729	-4.02957240660225e-05	0.00693223429041175	0.999763380427768
3.73884633774832e-09	0.0611910712634042	-0.441960024832913	0.859080592080811	-5.91081698116467e-05	0.006932422360303	0.999763381713163
3.73911989008574e-09	0.063546791509364	-0.441667155440667	0.85906146319918	-9.59436199992642e-05	0.00693263892696753	0.999763383218311
3.73981710683395e-09	0.069545229996	-0.440863480636942	0.859012776741584	-0.00018985413071326	0.00693230236372142	0.999763385416018
3.74066129945476e-09	0.0767990432546024	-0.439780380127407	0.858953955536764	-0.000303638425039565	0.00693019121184413	0.999763385913992
3.74135965489422e-09	0.082789735746037	-0.438793448168901	0.858905415576623	-0.000397797176402833	0.00692703051039814	0.999763387480434
3.74208088483227e-09	0.0889622601972872	-0.437688016365831	0.858855425907025	-0.000495004322453269	0.0069224143752618	0.999763396069338
3.74287210170731e-09	0.095720666404704	-0.436374397878882	0.858800728997541	-0.000601652346926042	0.00691577610869159	0.999763409155231
3.74383723759287e-09	0.103940983053038	-0.434629539399132	0.858734229042388	-0.000731672279380981	0.0069054348406115	0.999763428083702
3.74469963125946e-09	0.11126073620691	-0.432938258217044	0.858675023958068	-0.000847729867713943	0.00689409876501333	0.999763446248095
3.7456118294628e-09	0.118978944816757	-0.431013418809826	0.858612616186275	-0.000970395774107794	0.00687996202412709	0.999763467860243
3.74608253939304e-09	0.122947532148896	-0.429966163336858	0.858580520281201	-0.00103358519816309	0.00687180053887836	0.999763479861249
3.746527451869e-09	0.126691160318774	-0.42894230380398	0.858550244215832	-0.00109326608024291	0.00686354514987898	0.99976349177246
3.74718225499147e-09	0.132187686732422	-0.427375331749717	0.858505792691974	-0.00118102155984726	0.00685043856600502	0.999763510306783
3.74808579068738e-09	0.139743243996967	-0.425096141725244	0.858444668765153	-0.00130189766167105	0.00683048120530147	0.999763534466887
3.74827712403304e-09	0.141337960457119	-0.424596255124697	0.858431757633233	-0.00132744493427598	0.00682597599880447	0.999763538325614
3.74898753041403e-09	0.147245050473277	-0.422687128445547	0.858383917158665	-0.00142218720477403	0.00680839632131422	0.999763551094443
3.74934414158746e-09	0.15020200331868	-0.421697249317781	0.858359960072503	-0.00146967908833129	0.00679906545318133	0.999763556578541
3.75010243980919e-09	0.15646990123508	-0.419522614760223	0.858309149899157	-0.00157049425160962	0.00677810372420792	0.999763566679013
3.750769138432e-09	0.16195319245736	-0.417533485244667	0.858264639377486	-0.00165884871959561	0.00675843110936935	0.999763575766325
3.75175671131078e-09	0.170033793870288	-0.414453026008876	0.858198970934527	-0.00178933517890069	0.0067271358363175	0.999763587529866
3.75219519363735e-09	0.173605346101017	-0.413034092104197	0.858169916118348	-0.00184711696437828	0.00671241713580277	0.999763592122248
